Home,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,X3PointShots,X3PointShotsAttempted,FreeThrows,FreeThrowsAttempted,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls
Away,L,102,109,40,80,13,22,9,17,10,42,26,6,8,17,24
Home,W,102,92,35,69,7,20,25,33,3,37,26,10,6,12,20
Away,L,92,94,38,92,8,25,8,11,10,37,26,14,5,13,25
Away,L,119,122,43,93,13,33,20,26,7,38,28,8,3,19,33
Home,W,103,96,33,81,9,22,28,36,12,41,18,10,5,8,17
Away,W,91,85,27,71,10,27,27,28,9,38,20,7,3,15,16
Home,W,100,97,39,76,9,20,13,18,13,46,23,8,4,18,12
Home,W,114,103,42,75,11,28,19,23,3,36,33,10,5,13,20
Away,L,94,127,40,90,3,22,11,13,11,37,26,6,8,18,12
Home,L,109,114,41,85,9,27,18,23,13,38,22,7,3,10,17
Home,W,99,89,38,80,5,24,18,26,8,46,20,7,5,9,18
Away,W,106,102,36,85,7,25,27,34,12,43,17,16,6,10,23
Home,L,115,126,42,82,10,24,21,24,9,32,31,2,4,13,24
Home,W,100,91,38,76,5,17,19,22,11,42,26,6,7,18,14
Home,W,105,75,40,75,12,23,13,16,5,44,31,8,5,12,17
Home,W,109,105,43,82,11,24,12,14,4,31,36,8,8,16,14
Away,W,112,102,40,74,12,25,20,23,5,30,25,9,1,16,24
Away,W,98,75,35,81,13,34,15,24,6,46,22,12,4,10,22
Home,W,96,84,36,87,10,27,14,19,11,43,26,9,4,12,15
Away,W,108,92,40,77,9,21,19,27,6,47,27,11,7,16,20
Home,W,95,79,38,91,10,30,9,13,16,52,26,15,1,14,16
Home,W,87,81,29,78,9,29,20,27,5,42,24,12,3,12,12
Away,L,99,100,35,84,8,27,21,24,9,41,24,4,4,10,19
Home,W,93,86,36,83,7,21,14,17,5,40,26,10,7,9,17
Away,W,127,98,49,76,16,28,13,16,6,40,36,3,5,9,17
Away,W,104,97,38,74,10,26,18,24,4,37,26,7,9,15,15
Away,W,105,102,40,81,7,19,18,27,6,43,26,6,6,17,21
Home,W,107,104,34,76,12,23,27,35,9,43,28,6,3,14,21
Home,L,77,107,31,76,4,23,11,14,8,38,20,8,4,22,19
Away,W,90,85,33,90,9,29,15,19,17,51,25,9,4,11,17
Home,W,109,101,40,79,10,29,19,26,7,44,23,13,5,15,19
Away,W,98,92,33,81,6,23,26,30,11,47,24,9,3,10,17
Away,W,115,107,43,84,6,17,23,31,10,46,17,9,5,14,15
Away,W,107,98,36,81,13,27,22,33,7,41,25,13,2,12,23
Home,W,96,86,32,72,13,25,19,23,8,37,21,17,4,17,15
Away,W,106,103,40,82,10,23,16,24,6,49,27,3,3,14,13
Home,W,120,89,42,89,16,31,20,24,13,42,34,14,3,8,15
Away,W,105,87,42,87,12,23,9,16,15,47,34,6,3,16,17
Away,W,105,91,36,73,10,29,23,27,6,35,23,13,7,12,12
Away,W,110,89,42,69,12,23,14,16,4,32,30,7,6,17,17
Away,W,107,99,40,84,11,26,16,21,9,40,31,10,7,9,19
Home,W,93,82,37,84,9,30,10,14,5,42,31,8,1,10,19
Home,W,110,91,39,78,13,29,19,26,9,43,30,12,3,16,23
Home,W,103,93,40,83,10,25,13,13,10,47,27,6,5,16,13
Home,W,112,100,45,80,10,28,12,18,8,29,30,8,5,10,20
Home,W,113,102,38,82,12,33,25,26,12,45,29,4,4,11,18
Home,W,105,99,40,84,11,23,14,22,7,42,26,12,4,13,17
Home,W,91,85,34,78,10,28,13,18,8,44,20,6,5,12,16
Away,L,100,115,40,89,7,22,13,17,9,32,19,6,3,6,15
Home,W,105,96,38,80,11,25,18,27,9,46,24,7,2,14,22
Home,W,124,116,38,77,15,27,33,37,4,38,28,13,4,13,19
Away,L,88,94,33,80,12,30,10,11,3,37,17,6,5,14,16
Away,W,117,105,44,86,10,21,19,20,10,36,26,14,6,10,21
Away,L,88,89,33,78,7,29,15,23,5,44,23,6,5,12,17
Home,L,80,105,29,88,8,38,14,21,17,52,19,6,8,22,10
Away,W,97,86,35,87,9,30,18,21,16,43,23,10,7,20,17
Home,W,104,87,39,85,13,35,13,16,10,41,28,7,2,11,18
Home,W,95,88,36,81,14,31,9,12,11,42,27,11,5,18,12
Away,W,93,91,34,79,10,25,15,20,8,37,23,12,5,18,19
Home,W,104,96,39,86,8,29,18,21,9,49,23,3,6,15,13
Home,W,106,97,43,84,6,21,14,17,11,38,27,10,4,12,22
Away,L,84,92,30,77,11,25,13,16,5,42,20,8,9,19,14
Home,W,130,105,53,88,20,36,4,7,10,33,42,8,6,13,18
Away,L,102,115,34,81,9,27,25,27,8,32,18,11,3,17,18
Away,W,96,87,39,83,8,18,10,12,7,38,22,11,6,11,20
Away,W,91,86,34,76,5,23,18,27,7,34,25,9,6,10,14
Away,W,110,103,38,84,12,31,22,30,9,39,25,11,5,12,24
Away,L,95,114,31,87,8,22,25,30,15,44,24,14,4,15,20
Away,L,115,123,41,82,13,29,20,25,7,34,20,9,4,11,16
Home,L,95,114,38,80,12,24,7,7,6,29,25,13,2,18,15
Away,W,95,83,39,90,10,31,7,10,12,45,21,9,8,13,17
Home,W,99,86,37,72,6,18,19,24,5,38,31,12,4,16,13
Away,L,100,115,37,86,15,30,11,14,7,36,32,6,4,10,17
Home,W,101,88,36,79,9,29,20,24,12,42,29,5,4,11,20
Away,L,95,105,40,84,8,25,7,10,12,43,25,8,0,17,14
Home,W,131,99,49,82,17,33,16,19,7,34,40,15,4,12,16
Home,W,96,69,41,83,4,25,10,14,8,54,21,9,4,15,17
Away,W,114,111,43,86,11,28,17,25,10,40,35,11,4,11,18
Home,W,104,80,41,82,10,28,12,16,9,44,31,10,4,13,18
Away,L,99,108,36,87,9,29,18,24,7,38,24,10,2,11,22
Home,L,108,112,39,88,11,32,19,23,12,37,27,10,3,8,17
Away,L,85,91,36,92,8,29,5,7,10,42,15,10,10,15,19
